funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,,last_pymnt_amnt,acc_now_delinq,delinq_amnt,pub_rec_bankruptcies,tax_liens,disbursement_method,debt_settlement_flag,lable
35000,35000,1,0.11,1140.07,7,1,365000,2,1,1,6,8,18.14,0,32874,4,8,0,39871,0.04,33,1,41042.21023,41042.21,35000,6042.21,41974,114,1160.08,0,0,0,0,1,1,0
35000,35000,2,0.14,819.3,1,1,550000,3,1,1,6,13,4.34,0,29037,4,19,0,19107,0.01,47,1,42864.27784,42864.28,35000,7864.28,41883,114,4174.84,0,0,0,0,1,1,0
35000,35000,2,0.17,874.93,3,1,325000,2,1,1,3,9,5.65,0,33298,6,6,0,17695,0.93,25,1,48612.77219,48612.77,35000,13612.77,41913,114,19750.29,0,0,0,0,1,1,0
35000,34975,2,0.23,981.45,4,5,105000,3,1,1,3,12,16.94,0,38261,0,10,0,18686,0.91,20,1,37616.61423,37589.74,35000,2616.61,41000,112,34675.92,0,0,0,0,1,1,0
35000,34957.17589,2,0.22,973.64,0,1,100000,3,1,1,3,8,15.84,0,34608,2,10,0,23854,0.81,44,1,23897.68,23830.67,3498.01,6229.59,41183,112,973.64,0,0,0,0,1,2,1
35000,34200,1,0.08,1095.16,10,1,96000,3,1,1,5,1,12.76,0,37043,0,7,0,11266,0.23,15,1,37672.47088,36811.39,35000,2672.47,41334,113,9356.85,0,0,0,0,1,1,0
35000,34975,1,0.11,1140.07,3,1,112800,3,1,1,3,9,14.35,0,31990,1,17,0,38121,0.6,35,1,40834.67571,40805.51,35000,5834.68,41791,114,7807.37,0,0,0,0,1,1,0
35000,34987.27101,2,0.2,925.54,7,1,175000,2,1,1,5,2,11.2,0,34425,2,3,0,28240,0.94,26,1,16761.03,16727.98,5816.81,9265.61,41518,113,200.64,0,0,0,0,1,1,1
35000,34961.84689,2,0.19,901.01,10,5,85602,3,1,1,3,2,20.66,0,32448,1,12,0,14249,0.6,14,1,12614.14,12573.03,5535.28,7066.54,41306,113,901.01,0,0,0,0,1,1,1
35000,34975,2,0.19,908.5,10,1,150000,3,1,1,5,11,24.74,0,32234,1,12,0,17963,0.34,32,1,50122.84459,50087.04,35000,15122.84,41913,114,20153.38,0,0,0,0,1,1,0
35000,35000,2,0.19,916.03,10,1,76519.82,3,1,1,3,1,20.89,0,29190,1,8,0,23691,0.93,28,1,54932.14991,54932.15,35000,19932.15,42614,116,3580.11,0,0,0,0,1,1,0
35000,35000,2,0.19,916.03,10,4,137000,3,1,1,2,1,18.11,0,32843,0,9,0,32568,0.8,20,1,54777.89995,54777.9,35000,19777.9,42552,116,5312.28,0,0,0,0,1,1,0
35000,34950,2,0.22,960.11,4,1,83500,3,1,1,3,10,19.9,0,37226,1,16,0,13082,0.53,23,1,44338.93006,44275.59,35000,9338.93,41365,113,29942.85,0,0,0,0,1,1,0
35000,35000,1,0.19,1283.5,6,5,200000,2,1,1,3,13,4.18,0,34639,0,8,0,13645,0.92,19,1,46205.59827,46205.6,35000,11205.6,41974,114,1306.62,0,0,0,0,1,1,0
35000,34925,2,0.19,901.01,3,5,140000,3,1,1,2,2,12,0,30956,1,12,0,30999,0.75,20,1,54059.65768,53943.82,35000,19059.66,42705,117,900.07,0,0,0,0,1,1,0
35000,34900.56962,2,0.19,901.01,6,1,248000,3,1,1,3,9,6.17,0,34060,2,14,0,89144,0.84,29,1,53957.13994,53783.65,35000,18957.14,42583,116,4370.24,0,0,0,0,1,1,0
35000,34972.05982,2,0.13,805.17,6,5,98000,3,1,1,3,4,14.55,0,35674,1,7,0,26876,0.64,35,1,22643.25,22621.44,11261.91,8047.77,41609,113,805.17,0,0,0,0,1,1,1
35000,34975,2,0.22,973.64,10,1,65000,3,1,1,3,12,12.37,0,38169,3,12,0,15950,0.71,18,1,41927.68,41897.86,18860.53,20071.29,42125,115,973.64,0,0,0,0,1,1,1
35000,35000,1,0.1,1127.88,1,4,73440,3,1,1,3,10,6.5,0,33878,1,8,0,15431,0.44,37,1,39790.08537,39790.09,35000,4790.09,41579,113,14988.85,0,0,0,0,1,1,0
35000,34987.98452,2,0.22,967.86,10,5,90000,3,1,1,3,9,16.36,0,31564,0,11,0,21412,0.85,29,1,58090.95207,58056.4,35000,23090.95,42736,117,937.21,0,0,0,0,1,1,0
35000,34937.98452,2,0.22,967.86,10,1,95300,3,1,1,2,13,14.71,0,34335,0,10,0,27800,0.93,38,1,58071.19982,57953.69,35000,23071.2,42705,117,967.46,0,0,0,0,1,1,0
35000,34975,2,0.2,925.54,5,1,110000,3,1,1,3,2,10.9,1,31778,0,7,0,17566,0.53,18,1,52574.74997,52537.2,35000,17574.75,42064,115,17407.47,0,0,0,0,1,1,0
35000,34972.50393,2,0.19,916.03,10,1,185000,3,1,1,2,9,16.72,0,30529,0,16,0,26640,0.9,37,1,54286.89994,54241.58,35000,19286.9,42401,116,9401.43,0,0,0,0,1,1,0
35000,34963.57887,2,0.24,1005.06,10,5,81500,3,1,1,3,8,21.92,0,33664,0,7,0,28427,0.98,31,1,26030.01,25975.71,8325.13,13783.77,41579,113,41.06,0,0,0,0,1,1,1
35000,34963.08012,2,0.22,973.64,10,5,143000,3,1,1,2,2,12.95,0,36161,2,16,0,22050,0.82,20,1,48467.59,48398.35,24581.94,22122.3,42339,115,1022.32,0,0,0,0,1,1,1
35000,34922.8295,2,0.14,819.3,1,5,121000,3,1,1,10,2,1.99,0,38626,3,10,0,10994,0.4,15,1,47757.29997,47636.43,35000,12757.3,42156,115,14176.12,0,0,0,0,1,1,0
35000,34947.53729,2,0.2,925.54,0,1,132500,3,1,1,3,10,16.07,0,36281,1,15,0,25584,0.68,22,1,49499.90992,49422.59,35000,14499.91,41791,114,22662.61,0,0,0,0,1,1,0
35000,33918.94467,2,0.22,960.11,4,1,165000,3,1,1,3,2,15.31,0,36465,0,8,0,31349,0.77,25,1,42723.9653,39916.05,35000,7723.97,41275,113,31208.16,0,0,0,0,1,1,0
35000,33304.82184,2,0.2,933.14,10,5,75000,3,1,1,3,9,19.28,0,34700,0,13,0,28737,0.83,16,1,29456.88,25712.93,12074.91,14053.01,41760,114,26.52,0,0,0,0,1,1,1
35000,34972.35245,2,0.17,874.93,4,5,97000,3,1,1,3,14,22.75,0,31778,1,15,0,42865,0.47,25,1,37464.34225,37431.34,35000,2464.34,41030,112,33968.45,0,0,0,0,1,1,0
35000,34975,2,0.12,786.01,0,1,101000,3,1,1,3,13,18.75,0,32964,0,10,0,56992,0.79,41,1,47160.13893,47126.45,35000,12160.14,42705,117,785.54,0,0,0,0,1,1,0
35000,35000,2,0.21,952.39,4,1,120000,3,1,1,3,2,11.27,0,37043,2,16,0,16953,0.82,32,1,57143.25996,57143.26,35000,22143.26,42705,117,952.25,0,0,0,0,1,1,0
35000,34975.81636,2,0.19,908.5,10,1,98500,3,1,1,3,13,24.83,0,36100,2,12,0,20903,0.57,36,1,51738.15996,51679.84,35000,16738.16,42064,115,17233.26,0,0,0,0,1,1,0
35000,34425,2,0.12,773.44,10,1,100500,3,1,1,2,2,19.9,0,35156,0,13,0,74154,0.67,33,1,46406.09709,45643.71,35000,11406.1,42705,117,773.13,0,0,0,0,1,1,0
35000,34972.12183,2,0.14,819.3,10,1,98000,3,1,1,2,5,17.72,0,30682,1,11,0,59189,0.8,41,1,47359.13995,47319.46,35000,12359.14,42095,115,15421.92,0,0,0,0,1,1,0
35000,35000,1,0.09,1111.37,3,4,277000,2,1,1,10,13,3.3,0,32174,0,4,0,6888,0.32,12,1,40009.00825,40009.01,35000,5009.01,41974,114,1140.17,0,0,0,0,1,1,0
35000,35000,1,0.08,1095.16,10,1,408000,3,1,1,5,2,9.93,0,33664,0,11,0,33167,0.18,35,1,39322.49746,39322.5,35000,4322.5,41913,114,2845.86,0,0,0,0,1,1,0
35000,34925,1,0.11,1140.07,0,1,160000,3,1,1,3,9,9.91,0,33239,1,14,0,31891,0.57,43,1,41042.21022,40954.26,35000,6042.21,41974,114,1174.27,0,0,0,0,1,1,0
35000,33301.31741,2,0.12,786.01,5,1,64620,3,1,1,3,13,10.05,0,36039,0,7,0,15116,0.53,18,1,46688.58998,43842.14,35000,11688.59,42370,116,8960.11,0,0,0,0,1,1,0
35000,34647.35245,2,0.17,874.93,5,1,97936,3,1,1,3,13,23.84,0,32540,0,18,0,32185,0.37,35,1,11374.09,11254.06,5252.6,6120.64,41306,113,30.21,0,0,0,0,1,1,1
35000,34700,1,0.08,1095.16,1,5,120000,3,1,1,10,8,0.94,0,36739,0,6,0,1486,0.03,15,1,36385.6485,36073.77,35000,1385.65,41122,112,14031.92,0,0,0,0,1,1,0
35000,34788.44707,2,0.24,997.16,1,5,108600,3,1,1,3,14,21.2,0,36678,2,12,0,50427,0.91,28,1,9836.43,9744.74,2664.9,5306.38,41122,112,997.16,0,0,0,0,1,1,1
35000,34775,1,0.08,1095.16,5,1,125000,3,1,1,3,8,11.79,0,36220,0,11,0,44017,0.45,28,1,39425.71504,39172.26,35000,4425.72,41974,114,1115.86,0,0,0,0,1,1,0
35000,35000,1,0.18,1269.73,11,5,162000,3,1,1,3,2,19.81,0,30256,1,17,0,86994,0.54,33,1,28924.14,28924.14,17609.93,9733.56,41791,114,505.75,0,0,0,0,1,2,1
35000,35000,1,0.19,1276.6,5,1,146000,3,1,1,3,2,14.91,0,25965,1,14,0,28604,0.68,49,1,45279.1289,45279.13,35000,10279.13,41730,114,10820.77,0,0,0,0,1,1,0
35000,35000,1,0.08,1095.16,10,1,95000,3,1,1,6,2,2.93,0,36039,0,14,0,8680,0.16,28,1,38592.46142,38592.46,35000,3592.46,41518,113,16702.46,0,0,0,0,1,1,0
35000,33714.91586,2,0.21,944.71,4,4,70000,3,1,1,10,12,12.58,0,36861,2,7,0,29088,0.65,15,1,41902.85759,38898.36,35000,6902.86,41244,112,31517.59,0,0,0,0,1,1,0
35000,34822.56581,2,0.2,933.14,0,1,191000,3,1,1,6,7,17.72,2,34639,1,16,0,14925,0.75,43,1,25126.3,24994.26,9482.39,11957.06,41579,113,933.14,0,0,0,0,1,1,1
35000,34825,2,0.13,790.82,2,1,131000,3,1,1,5,3,6.35,0,35065,0,7,0,0,0,17,1,43047.94878,42832.71,35000,8047.95,41640,114,23307.75,0,0,0,0,1,1,0
35000,34725,2,0.12,786.01,9,1,150000,2,1,1,5,9,10.38,0,34425,0,12,0,22499,0.63,28,1,47160.13891,46789.59,35000,12160.14,42705,117,785.54,0,0,0,0,1,1,0
35000,34997.35245,2,0.17,874.93,9,1,97500,2,1,1,6,9,16.52,0,36373,7,9,0,8357,0.72,28,1,32471.77,32465.53,16128.4,13615.39,41913,114,2620.96,0,0,0,0,1,1,1
35000,34972.47891,2,0.19,908.5,2,1,75000,3,1,1,3,1,16.94,0,35886,0,9,0,19986,0.85,24,1,10975.49,10961.23,2933.26,6107.81,41214,112,910,0,0,0,0,1,1,1
35000,35000,1,0.08,1095.16,2,5,95000,3,1,1,2,1,15.33,0,34639,0,9,0,41346,0.35,39,1,39425.71999,39425.72,35000,4425.72,41974,114,1110.23,0,0,0,0,1,1,0
35000,33512.97457,2,0.12,773.44,10,1,68000,3,1,1,3,5,28.78,0,35034,0,8,0,66854,0.73,25,1,44992.23997,42640.7,35000,9992.24,42064,115,14843.35,0,0,0,0,1,1,0
35000,34975,1,0.09,1111.37,5,5,70500,3,1,1,3,14,22.09,0,33695,0,10,0,36872,0.71,31,1,40010.33498,39981.76,35000,5010.33,41974,114,1127.97,0,0,0,0,1,1,0
35000,34812.98452,2,0.22,967.86,2,5,145000,3,1,1,3,8,12.94,3,35431,0,24,0,11556,0.2,61,1,57997.27995,57672.74,35000,22997.28,42614,116,3797.12,0,0,0,0,1,1,0
35000,33786.66547,2,0.21,952.39,10,1,120000,3,1,1,3,2,8.12,1,32417,1,5,0,47375,0.89,20,1,57117.89995,54194.23,35000,22117.9,42614,116,2831.67,0,0,0,0,1,1,0
35000,33795.83306,2,0.12,773.44,2,1,280000,3,1,1,7,12,7.87,0,36008,0,7,0,6457,0.18,25,1,44321.45996,42348.93,35000,9321.46,41974,114,18.57,0,0,0,0,1,1,0
35000,34788.19737,2,0.23,981.45,10,1,120000,3,1,1,6,2,24,0,35034,0,14,0,18199,0.71,35,1,58886.47343,58514.93,35000,23886.47,42675,116,980.92,0,0,0,0,1,1,0
35000,33951.84413,2,0.21,944.71,10,1,160000,3,1,1,3,8,12.11,0,36312,1,13,2,34165,0.91,21,1,56681.88585,54132.56,35000,21681.89,42675,116,943.99,0,0,2,0,1,1,0
35000,33970.77809,2,0.23,981.45,10,5,106000,3,1,1,3,9,14.49,0,35886,2,9,0,16006,0.85,38,1,44820.4066,42261.89,35000,9820.41,41334,113,30061.06,0,0,0,0,1,1,0
35000,34525,2,0.2,925.54,8,5,70000,3,1,1,3,9,20.45,0,34090,0,5,0,23538,0.78,11,1,38397.16286,37876.07,35000,3397.16,41030,112,33774.54,0,0,0,0,1,1,0
35000,34993.65539,1,0.08,1095.16,9,1,70000,3,1,1,3,8,19.11,0,30376,0,14,0,42194,0.47,27,1,38493.42832,38485.63,35000,3493.43,41487,113,1596.22,0,0,0,0,1,1,0
35000,34852.55228,2,0.22,967.86,5,5,67000,3,1,1,3,8,21.55,0,36281,0,10,0,40746,1,22,1,58133.3199,57863.51,35000,23084.93,42644,116,1949.05,0,0,0,0,1,1,0
35000,35000,2,0.12,786.01,1,1,270000,2,1,1,3,6,6.78,0,33939,0,10,0,51892,0.6,26,1,47159.88269,47159.88,35000,12159.88,42644,116,1571.3,0,0,0,0,1,1,0
35000,33394.39489,2,0.12,786.01,3,1,125000,3,1,1,3,9,10.3,0,34851,0,12,0,40362,0.5,35,1,34418.38,32009.08,20855.22,10567.24,42064,115,786.01,0,0,0,0,1,1,1
35000,33781.82987,2,0.2,925.54,10,4,204000,3,1,1,6,6,15.36,0,35462,3,9,0,33359,0.92,19,1,55531.80035,52738.01,35000,20531.8,42705,117,924.94,0,0,0,0,1,1,0
35000,35000,1,0.12,1157.66,3,1,250000,3,1,1,13,2,4.13,0,33329,2,4,0,4901,0.11,16,1,37780.56889,37780.57,35000,2780.57,41122,112,28531.89,0,0,0,0,1,1,0
35000,34872.56581,2,0.2,933.14,5,5,82000,3,1,1,13,4,9.15,0,35186,0,4,0,1318,0.88,4,1,16611.06,16545.35,5758.76,9170.41,41365,113,956.54,0,0,0,0,1,1,1
35000,33736.0392,2,0.19,916.03,10,1,110000,2,1,1,13,4,11.15,1,35247,3,6,0,10896,0.8,23,1,45801.5,42844.15,26595.33,19185.38,42401,116,916.03,0,0,0,0,1,1,1
35000,35000,1,0.11,1140.07,7,1,90000,3,1,1,3,9,17.41,0,31564,1,12,0,42673,0.41,42,1,41038.53998,41038.54,35000,6038.54,41913,114,2298.03,0,0,0,0,1,1,0
35000,34797.53729,2,0.2,925.54,1,5,300000,3,1,1,3,4,3.85,0,30560,0,5,0,77145,0.71,23,1,48363.50031,48080.53,35000,13363.5,41671,114,24306.87,0,0,0,0,1,1,0
35000,34551.02493,2,0.19,916.03,3,1,180000,3,1,1,3,9,11.23,0,34669,0,18,0,41044,0.41,54,1,53951.73991,53237.75,35000,18951.74,42309,115,10898.33,0,0,0,0,1,1,0
35000,34773.91718,2,0.16,850.39,10,1,102158,3,1,1,7,4,14.61,0,24685,1,24,0,93973,0.35,55,1,46149.37853,45831.04,35000,11149.38,41730,114,22370.64,0,0,0,0,1,1,0
35000,34550,2,0.12,773.44,4,5,80000,3,1,1,3,5,22.61,0,33086,0,9,0,32119,0.54,22,1,45005.88995,44427.24,35000,10005.89,42064,115,14859.57,0,0,0,0,1,1,0
35000,33808.22689,2,0.12,786.01,2,1,61200,3,1,1,3,4,22.43,0,32782,0,8,0,6287,0.41,19,1,47160.13995,45141.23,35000,12160.14,42705,117,785.55,0,0,0,0,1,1,0
35000,34600,2,0.12,786.01,10,1,109592,3,1,1,3,9,13.72,0,29129,0,15,0,41795,0.35,35,1,39047.31,38601.14,5380.16,4043.8,41214,112,786.01,0,0,0,0,1,1,1
35000,34950.81636,2,0.19,908.5,3,1,85000,3,1,1,3,11,17.82,0,37895,0,13,0,17184,0.43,24,1,10902,10835.99,4620.91,6279.2,41244,112,25.44,0,0,0,0,1,1,1
35000,35000,1,0.14,1200.82,10,5,70000,3,1,1,3,9,16.63,0,36465,0,5,0,12782,0.9,13,1,19289.76,19289.76,12759.8,5234.04,41334,113,1200.82,0,0,0,0,1,1,1
35000,34599.91039,2,0.18,880.8,10,5,79000,3,1,1,3,2,21.95,0,33725,0,5,0,40680,0.64,10,1,30828,30440.52,16637.4,14119.59,41913,114,880.8,0,0,0,0,1,1,1
